sequence,frames,duration_s,gt_path_length_m,est_path_length_m,ate_rmse_m,xy_rmse_m,ate_pct_of_gt_path,xy_pct_of_gt_path,mean_total_ms,median_total_ms,mean_fps,mean_klt_ms,mean_imu_ms,mean_seed_ms,mean_keypoints,median_keypoints,final_num_kfs,final_num_mps,mean_imu_hz
2011_09_26_drive_0009_sync,447,46.166837215423584,331.4648984916399,340.20000752551385,21.32745054783695,19.901643432775284,6.434301383008997,6.004148108393818,29.97718120805369,30.8,33.35870684637084,9.74317673378076,0.004250559284116331,10.912304250559284,222.1923937360179,220.0,540,410,9.44374194837789
2011_09_26_drive_0018_sync,270,27.87292194366455,50.510618338451685,46.80000114100536,2.2412861923590137,2.2355870198997816,4.437257483844369,4.425974366260965,24.77666666666667,22.4,40.36055428494551,7.597777777777778,0.003333333333333334,11.072222222222223,223.62962962962962,220.0,112,168,9.29352033834969
2011_09_26_drive_0022_sync,800,82.7778422832489,514.2628649605076,468.6000246026575,25.94598679957163,24.41204417593108,5.045277146652254,4.74699727303969,28.69,28.7,34.85535029627047,9.382125,0.004750000000000001,10.767375,221.225,220.0,810,856,9.532016594241343
2011_09_26_drive_0023_sync,474,49.01704454421997,413.7576184038594,473.0000058139367,43.41951472448844,43.396795530329605,10.493949305872995,10.488458363072601,26.893670886075945,26.2,37.18346982961499,9.692194092827005,0.026371308016877638,10.70759493670886,222.06751054852322,220.0,14,35,9.446206416394778
2011_09_26_drive_0028_sync,430,44.42861270904541,779.915795812865,429.0000040483039,199.43332947583318,199.15332408223185,25.57113608245033,25.53523407929761,29.779302325581398,29.2,33.58037032120014,12.577441860465116,0.025116279069767444,11.018837209302326,222.27906976744185,220.0,0,0,9.430455867881339
2011_09_26_drive_0029_sync,430,44.4629545211792,349.1090461783866,339.9999984778838,36.81237201130237,36.7762913703405,10.544662882351123,10.534327819035852,27.6946511627907,27.15,36.1080554552554,9.566744186046511,0.026279069767441862,10.943953488372093,222.27906976744185,220.0,184,228,9.426094064630611
2011_09_26_drive_0084_sync,383,39.581544637680054,239.46017851471115,307.0000094466394,34.547858363005275,33.74961706171902,14.427391885069877,14.094041552568887,25.79242819843342,25.8,38.77106848205699,8.865274151436031,0.02610966057441253,10.71906005221932,222.55874673629242,220.0,32,18,9.398509727841857
2011_09_26_drive_0086_sync,706,72.95470833778381,267.6024358636713,654.9999998040314,207.6855799385182,205.15192580051377,77.60974942855997,76.66295156783528,29.1814447592068,29.3,34.26835128457778,9.740368271954676,0.00453257790368272,10.537110481586403,221.38810198300283,220.0,894,834,9.527840683228563
2011_09_26_drive_0087_sync,729,75.38511681556702,287.89145360858555,716.9999911201915,255.31254485709363,255.2046857779956,88.68361379154176,88.6461486018857,25.990123456790123,25.6,38.47615428462854,9.251303155006859,0.025514403292181072,10.636351165980795,221.3443072702332,220.0,42,71,9.525828442455817
2011_09_26_drive_0101_sync,936,96.625727891922,1297.479530457806,846.9999835704443,247.38975159620276,246.3689449055256,19.066948324719476,18.988272194058904,27.711752136752143,27.6,36.08577310684627,10.299893162393163,0.0047008547008547015,10.77318376068376,221.04700854700855,220.0,48,46,9.574184829724171
2011_09_29_drive_0071_sync,1059,109.88331127166748,239.43814975818222,681.9999904981374,295.8298330712629,295.171272659329,123.55167017872165,123.2766261171972,26.02625118035883,25.9,38.42274452321691,7.9178470254957505,0.027101038715769597,12.461756373937677,220.92540132200187,220.0,2,0,9.537269104787054
2011_10_03_drive_0047_sync,837,86.63233590126038,712.5009833721822,667.2499581471037,58.55076986852016,57.40136905080003,8.217640569618073,8.056321379252868,28.561887694145756,27.6,35.01169147881521,10.04862604540024,0.004062126642771805,10.608124253285544,221.17084826762246,220.0,514,253,9.53460884447648
