sequence,frames,duration_s,mocap_rows,mocap_segments,valid_queries,valid_query_ratio,camera_time_source,query_time_source,small_time_shift_s,rpe_count_d1,rpe_trans_rmse_d1_m,rpe_rot_rmse_d1_deg,rpe_trans_mean_d1_m,rpe_rot_mean_d1_deg,rpe_count_d10,rpe_trans_rmse_d10_m,rpe_rot_rmse_d10_deg,rpe_trans_mean_d10_m,rpe_rot_mean_d10_deg,rpe_count_d20,rpe_trans_rmse_d20_m,rpe_rot_rmse_d20_deg,rpe_trans_mean_d20_m,rpe_rot_mean_d20_deg,rpe_count_d50,rpe_trans_rmse_d50_m,rpe_rot_rmse_d50_deg,rpe_trans_mean_d50_m,rpe_rot_mean_d50_deg,mean_total_ms,median_total_ms,mean_fps,mean_klt_ms,mean_imu_ms,mean_seed_ms,mean_keypoints,median_keypoints,final_num_kfs,final_num_mps,mean_imu_hz
bike-easy,5765,288.20786305000007,6482,3,1079,0.18716392020815265,dataset/bike-easy/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.014993790000000002,1077,0.03390293455533237,1.7795578975709718,0.02646366690127047,1.2183618558790847,1059,0.32468530808216833,14.709442665418923,0.25328362886943234,10.05589880682545,1039,0.6271836718820457,26.035498500844234,0.48914455967467296,18.03271724063166,979,1.3626809935870068,48.55467903209996,1.0663786539537408,37.12971534889214,20.69868169991327,19.9,48.31225555800446,7.613807458803123,0.018265394622723332,3.1880659150043362,220.0,220.0,5266,1649,200.19400889653835
loop-floor1,5151,257.495227021,5649,2,941,0.18268297417977092,dataset/loop-floor1/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.009432876,939,0.04199509191094947,4.279289618747161,0.03526015989388768,2.9823281670601816,921,0.40366755645553787,36.44317266352902,0.3399212505541892,25.31463582703654,901,0.7716191098810313,64.366599215181,0.652817646031665,45.499047017477615,841,1.628505745569868,97.7561605972555,1.3882311385286574,80.97389817054346,22.404698116870513,20.1,44.633495831260944,7.815647447097652,0.01898660454280722,3.311920015530965,220.0,220.0,3886,2651,200.05658661095714
mocap-desk,749,37.393765938,4497,1,749,1.0,dataset/mocap-desk/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.009432876,748,0.014645217841589708,1.4318980400963075,0.013108639010987506,1.189580451530828,739,0.08417757605934505,9.422981125771132,0.07589559926256088,8.061283994375083,729,0.12874608691648787,14.507796246436028,0.11549293547015113,12.51769126710981,699,0.12328000214012752,11.520268656051199,0.11058117279934697,10.11277415555604,20.360881174899866,20.4,49.113787925483436,7.455540720961283,0.012283044058744995,3.3763684913217618,220.0,220.0,678,911,195.3649797771843
mocap-desk2,429,21.392889565999997,2569,1,428,0.9976689976689976,dataset/mocap-desk2/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.009432876,427,0.014133193631414472,0.9863660988178299,0.012961946620712659,0.8491453241192933,418,0.102286473493653,7.2376016424698255,0.09500538971191036,6.294622386790406,408,0.16806799110910367,11.937105903059743,0.15534745006902975,10.70989070413163,378,0.15365899979891734,11.490483687249025,0.14139248398013568,10.56524596733451,19.995571095571098,20.1,50.011074713514645,7.232867132867132,0.013752913752913752,3.439627039627039,220.0,220.0,248,448,191.13778542808404
office-maze,3204,160.14329559499998,5104,2,853,0.2662297128589263,dataset/office-maze/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.014993790000000002,851,0.045016889411089334,2.397977538352287,0.03608357053118156,1.757607678852208,833,0.43666941604100856,20.849258063350657,0.351525329433464,15.32979889786634,813,0.8420116363635847,37.00792420557546,0.6829952702464115,27.366755077797936,753,1.8172003333809112,65.54903401920915,1.4952697983358496,52.12359006721786,28.31563670411985,25.4,35.31617566821313,8.289575530586767,0.01772784019975031,3.3766541822721594,220.0,220.0,5390,3601,199.59541646336618
running-easy,1464,73.14294726300001,5771,2,961,0.6564207650273224,dataset/running-easy/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.014993790000000002,959,0.048172332377491675,2.675531727064756,0.03925427890804515,1.8769735052057657,941,0.4654784223306742,21.025006127996654,0.38220273659072157,15.763798316329291,921,0.9060786024753009,37.96050288625623,0.7471380953486287,28.64018033843987,861,1.962022971227645,70.48051703577373,1.640025270803453,57.99377483415241,29.94931693989071,26.4,33.38974314529556,8.353688524590163,0.014275956284153004,3.329234972677596,220.0,220.0,2170,1744,198.0517200213662
skate-easy,1586,79.242573399,5881,2,981,0.6185372005044136,dataset/skate-easy/left_images/image_timestamps_left.txt,camera_timestamps_by_frame_index,0.009432876,979,0.04747971029299748,3.0487459978218063,0.039563839554144095,2.348365852676022,961,0.4595814429749664,27.661605657923186,0.3829083335622188,21.139984774556314,941,0.8825057843783818,49.78818436720686,0.7352439758782839,38.33786887942271,881,1.8782547820277133,92.59724733619063,1.576456066879506,77.17687077208264,27.947225725094576,25.8,35.781726953386745,8.194451450189156,0.01639344262295082,3.323329129886507,220.0,220.0,2404,1906,198.33504616741712
